"","TRANSMITTER","DETECTEDID","DATETIME","X","Y","D","LAT","LON","n","HPE","HPEm","TEMP","DEPTH","ACCEL","DRX","URX","SDx","SDy","DATETIME_formatted"
"35","Jonah35","A69-1602-17084","7/2/2019 20:17",1024.24,921.61,6.4,43.067213,-70.708776,8,3.9,NA,NA,NA,NA,"S01 S02 S05 S08 S09","S01 S02 S05 S08 S09",4.402625536,16.52141732,2019-07-02 20:17:00
"36","Jonah35","A69-1602-17084","7/2/2019 20:20",1023.21,920.31,6.4,43.067202,-70.708789,4,5.5,NA,NA,NA,NA,"S01 S02 S05 S08","S01 S02 S05 S08",4.890255191,19.61112565,2019-07-02 20:20:00
"37","Jonah35","A69-1602-17084","7/2/2019 20:22",1023.78,920.35,6.4,43.067202,-70.708782,13,2.9,NA,NA,NA,NA,"S01 S02 S05 S08 S09 S10 S11 S14","S01 S02 S09 S10 S11 S14",2.024732046,6.455419845,2019-07-02 20:22:00
"38","Jonah35","A69-1602-17084","7/2/2019 20:26",1023.61,921.49,6.4,43.067212,-70.708784,16,2.7,NA,NA,NA,NA,"S01 S03 S05 S08 S09 S11","S01 S03 S05 S08 S09 S11",2.024732046,6.455419845,2019-07-02 20:26:00
"39","Jonah35","A69-1602-17084","7/2/2019 20:29",1018.5,922.51,6.4,43.067221,-70.708847,2,6.5,NA,NA,NA,NA,"S01 S03 S08 S09","S01 S03 S08 S09",6.060568074,19.76031318,2019-07-02 20:29:00
"40","Jonah35","A69-1602-17084","7/2/2019 20:42",1022.43,921.72,6.4,43.067214,-70.708799,3,4.6,NA,NA,NA,NA,"S01 S05 S08 S09","S01 S05 S08 S09",3.34333392,12.32610668,2019-07-02 20:42:00
"41","Jonah35","A69-1602-17084","7/2/2019 20:48",1022.03,922.39,6.4,43.06722,-70.708804,1,7.6,NA,NA,NA,NA,"S01 S05 S08","S01 S05 S08",4.345514993,9.541941744,2019-07-02 20:48:00
"42","Jonah35","A69-1602-17084","7/2/2019 20:50",1024.43,922.07,6.4,43.067218,-70.708774,17,2.7,NA,NA,NA,NA,"S01 S02 S05 S08 S09 S11","S01 S02 S05 S08 S09 S11",2.024732046,6.455419845,2019-07-02 20:50:00
"43","Jonah35","A69-1602-17084","7/2/2019 21:05",1023.2,921.52,6.4,43.067213,-70.708789,17,2.7,NA,NA,NA,NA,"S01 S02 S05 S08 S09 S11","S01 S02 S05 S08 S09 S11",2.024732046,6.455419845,2019-07-02 21:05:00
"44","Jonah35","A69-1602-17084","7/2/2019 21:08",1026.27,920.35,6.4,43.067202,-70.708752,2,5.3,NA,NA,NA,NA,"S01 S05 S09 S14","S01 S05 S09 S14",4.890255191,19.61112565,2019-07-02 21:08:00
"45","Jonah35","A69-1602-17084","7/2/2019 21:23",1026.4,921.23,6.4,43.06721,-70.70875,8,3.8,NA,NA,NA,NA,"S01 S02 S05 S08 S09","S01 S02 S05 S08 S09",4.402625536,16.52141732,2019-07-02 21:23:00
"46","Jonah35","A69-1602-17084","7/2/2019 21:25",1023.63,921.45,6.4,43.067212,-70.708784,9,2.9,NA,NA,NA,NA,"S01 S02 S05 S08 S11","S01 S02 S05 S08 S11",2.024732046,6.455419845,2019-07-02 21:25:00
"47","Jonah35","A69-1602-17084","7/2/2019 21:28",1019.48,922.22,6.4,43.067219,-70.708835,7,3.6,NA,NA,NA,NA,"S01 S05 S08 S09 S10 S14 S15","S01 S05 S09 S10 S14 S15",4.402625536,16.52141732,2019-07-02 21:28:00
"48","Jonah35","A69-1602-17084","7/2/2019 21:36",1024.02,921.41,6.4,43.067212,-70.708779,12,2.7,NA,NA,NA,NA,"S01 S05 S08 S09 S11 S14","S01 S05 S08 S09 S11 S14",2.024732046,6.455419845,2019-07-02 21:36:00
"49","Jonah35","A69-1602-17084","7/2/2019 22:01",1025.33,920.81,6.4,43.067206,-70.708763,11,3.4,NA,NA,NA,NA,"S01 S03 S05 S08 S09 S14","S01 S03 S05 S08 S09 S14",4.402625536,16.52141732,2019-07-02 22:01:00
"50","Jonah35","A69-1602-17084","7/2/2019 22:04",1023.62,921.4,6.4,43.067212,-70.708784,12,2.7,NA,NA,NA,NA,"S01 S03 S05 S08 S09 S11 S14","S01 S05 S08 S09 S11 S14",2.024732046,6.455419845,2019-07-02 22:04:00
"51","Jonah35","A69-1602-17084","7/2/2019 22:09",1026.13,916.12,6.4,43.067164,-70.708753,2,5.4,NA,NA,NA,NA,"S08 S09 S11 S14","S08 S09 S11 S14",4.890255191,19.61112565,2019-07-02 22:09:00
"52","Jonah35","A69-1602-17084","7/2/2019 22:12",1023.09,921.14,6.4,43.067209,-70.708791,4,3.1,NA,NA,NA,NA,"S05 S08 S09 S11","S05 S08 S09 S11",4.402625536,16.52141732,2019-07-02 22:12:00
"53","Jonah35","A69-1602-17084","7/2/2019 22:21",1023.11,921.72,6.4,43.067214,-70.70879,1,7.5,NA,NA,NA,NA,"S01 S05 S08","S01 S05 S08",4.345514993,9.541941744,2019-07-02 22:21:00
"54","Jonah35","A69-1602-17084","7/2/2019 22:23",1022.98,921.36,6.4,43.067211,-70.708792,3,3.2,NA,NA,NA,NA,"S01 S08 S09 S11","S01 S08 S09 S11",4.402625536,16.52141732,2019-07-02 22:23:00
"55","Jonah35","A69-1602-17084","7/2/2019 22:38",1022.76,921.81,6.4,43.067215,-70.708795,12,2.7,NA,NA,NA,NA,"S01 S03 S05 S08 S09 S11 S14","S01 S05 S08 S09 S11 S14",2.024732046,6.455419845,2019-07-02 22:38:00
"56","Jonah35","A69-1602-17084","7/2/2019 22:41",1023.28,921.81,6.4,43.067215,-70.708788,17,3.4,NA,NA,NA,NA,"S01 S02 S03 S05 S08 S09","S01 S02 S03 S05 S08 S09",4.402625536,16.52141732,2019-07-02 22:41:00
"57","Jonah35","A69-1602-17084","7/2/2019 22:49",1023.16,921.85,6.4,43.067216,-70.70879,12,2.7,NA,NA,NA,NA,"S01 S03 S05 S08 S09 S11 S14","S01 S05 S08 S09 S11 S14",2.024732046,6.455419845,2019-07-02 22:49:00
"58","Jonah35","A69-1602-17084","7/2/2019 22:54",1025.35,920.15,6.4,43.0672,-70.708763,4,5.7,NA,NA,NA,NA,"S01 S03 S05 S08","S01 S03 S05 S08",4.890255191,19.61112565,2019-07-02 22:54:00
"59","Jonah35","A69-1602-17084","7/2/2019 23:00",1016.78,921.35,6.4,43.067211,-70.708868,1,3.8,NA,NA,NA,NA,"S03 S05 S11","S03 S05 S11",4.402625536,16.52141732,2019-07-02 23:00:00
"60","Jonah35","A69-1602-17084","7/2/2019 23:03",1011.25,921.64,6.4,43.067214,-70.708936,10,4.2,NA,NA,NA,NA,"S01 S02 S03 S05 S08","S01 S02 S03 S05 S08",3.34333392,12.32610668,2019-07-02 23:03:00
