id,date,lc,lon,lat,smaj,smin,eor
PS-R254-M-18,2019-01-02T00:04:55Z,B,73.79,-52.17,25867,3966,122
PS-R254-M-18,2019-01-02T01:23:34Z,B,73.85,-52.17,11175,5078,58
PS-R254-M-18,2019-01-02T01:51:56Z,B,73.85,-52.21,7126,2080,109
PS-R254-M-18,2019-01-02T02:19:08Z,B,73.75,-52.19,19067,377,54
PS-R254-M-18,2019-01-02T04:13:47Z,B,73.87,-52.27,2853,939,79
PS-R254-M-18,2019-01-02T04:38:19Z,B,73.73,-52.22,15670,182,176
PS-R254-M-18,2019-01-02T05:13:47Z,B,73.76,-52.23,2884,1136,179
PS-R254-M-18,2019-01-02T05:49:57Z,B,73.78,-52.24,3614,1497,121
PS-R254-M-18,2019-01-02T09:57:30Z,B,73.75,-52.21,8761,598,91
PS-R254-M-18,2019-01-02T10:20:25Z,A,73.75,-52.19,53920,2126,119
PS-R254-M-18,2019-01-02T14:05:07Z,B,73.98,-52.2,38794,4985,111
PS-R254-M-18,2019-01-02T14:34:08Z,B,73.98,-52.27,51250,16063,100
PS-R254-M-18,2019-01-02T15:00:25Z,A,73.84,-52.24,58317,1760,75
PS-R254-M-18,2019-01-02T15:13:37Z,A,73.77,-52.26,3481,1593,27
PS-R254-M-18,2019-01-02T15:47:34Z,B,73.76,-52.14,20730,1446,73
PS-R254-M-18,2019-01-02T16:22:40Z,B,73.78,-52.11,13751,3132,79
PS-R254-M-18,2019-01-02T16:23:22Z,B,73.79,-52.11,14240,3072,78
PS-R254-M-18,2019-01-02T21:37:58Z,B,73.67,-52.21,30011,750,112
PS-R254-M-18,2019-01-03T00:01:04Z,B,73.58,-52.25,40283,2860,115
PS-R254-M-18,2019-01-03T00:25:46Z,B,73.55,-52.2,67989,472,96
PS-R254-M-18,2019-01-03T01:03:47Z,B,73.84,-52.24,29712,3960,82
PS-R254-M-18,2019-01-03T01:30:03Z,A,73.88,-52.14,44212,4918,84
PS-R254-M-18,2019-01-03T01:44:52Z,B,73.64,-52.22,15508,212,80
PS-R254-M-18,2019-01-03T02:06:11Z,A,73.8,-52.22,16760,1987,17
PS-R254-M-18,2019-01-03T02:36:11Z,B,73.99,-52.14,27118,3040,81
PS-R254-M-18,2019-01-03T05:02:40Z,B,74.15,-52.06,34195,10192,79
