id,date,lc,lon,lat,smaj,smin,eor
F02-B-17,2017-10-07T09:05:13.988741Z,G,67.4037744357049,-47.1704717307273,,,
F02-B-17,2017-10-07T09:31:00.084670Z,G,67.3857965580982,-47.1563124927871,,,
F02-B-17,2017-10-07T09:31:02.598748Z,G,67.3855150098301,-47.1565256170678,,,
F02-B-17,2017-10-07T09:32:08.017796Z,G,67.3853351449827,-47.1570345687935,,,
F02-B-17,2017-10-07T09:32:20.476208Z,G,67.3858118219146,-47.156897541082,,,
F02-B-17,2017-10-07T09:57:19.375903Z,G,67.3672718000397,-47.1435630995125,,,
F02-B-17,2017-10-07T09:58:28.304296Z,G,67.367806450845,-47.1434355069629,,,
F02-B-17,2017-10-07T09:58:29.334415Z,G,67.3670323382339,-47.1436215979818,,,
F02-B-17,2017-10-07T10:23:02.007296Z,G,67.3489858145876,-47.1329702063396,,,
F02-B-17,2017-10-07T10:23:07.975218Z,G,67.3475411906184,-47.1326000311226,,,
F02-B-17,2017-10-07T10:24:18.128650Z,G,67.3611926379191,-47.1304733986865,,,
F02-B-17,2017-10-07T10:24:20.220964Z,G,67.3478655242111,-47.1327162483513,,,
F02-B-17,2017-10-07T10:50:23.708581Z,G,67.3297525156482,-47.122511023866,,,
F02-B-17,2017-10-07T10:50:26.372970Z,G,67.3297437456397,-47.1228853499064,,,
F02-B-17,2017-10-07T10:51:30.698099Z,G,67.3276344467731,-47.1232968338127,,,
F02-B-17,2017-10-07T10:51:32.050425Z,G,67.329778520409,-47.1230351500666,,,
F02-B-17,2017-10-07T11:16:42.680885Z,G,67.3094374527171,-47.1149100292877,,,
F02-B-17,2017-10-07T11:16:44.785008Z,G,67.3094057623807,-47.1148866617404,,,
F02-B-17,2017-10-07T11:17:46.382964Z,G,67.309102636103,-47.1147143316785,,,
F02-B-17,2017-10-07T11:17:47.452502Z,G,67.3088722648136,-47.1149623987943,,,
F02-B-17,2017-10-07T11:41:54.890537Z,G,67.290049996759,-47.1060327335884,,,
F02-B-17,2017-10-07T11:41:56.006725Z,G,67.2893968090902,-47.1062706659091,,,
F02-B-17,2017-10-07T11:42:57.659900Z,G,67.2904666139382,-47.106532492398,,,
F02-B-17,2017-10-07T11:42:58.787937Z,G,67.2902468482887,-47.1065786693855,,,
F02-B-17,2017-10-07T12:09:03.849283Z,G,67.27064077591,-47.0969307468328,,,
F02-B-17,2017-10-07T12:10:16.063104Z,G,67.270491985808,-47.0970389817208,,,
F02-B-17,2017-10-07T12:33:59.984208Z,G,67.2537878904512,-47.0884021579126,,,
F02-B-17,2017-10-07T12:35:01.915636Z,G,67.2534504768117,-47.0887682578175,,,
F02-B-17,2017-10-07T13:00:30.930416Z,G,67.2353961891137,-47.0780624818186,,,
F02-B-17,2017-10-07T13:00:33.426420Z,G,67.2351916043927,-47.0779833072468,,,
F02-B-17,2017-10-07T13:01:36.863120Z,G,67.2353791670046,-47.0781536409626,,,
F02-B-17,2017-10-07T13:01:38.004223Z,G,67.2355030806835,-47.078054999153,,,
F02-B-17,2017-10-07T13:25:46.313919Z,G,67.219500408437,-47.0683491668148,,,
F02-B-17,2017-10-07T13:25:49.167182Z,G,67.2198185520365,-47.0688323589329,,,
F02-B-17,2017-10-07T13:26:50.978414Z,G,67.219749533842,-47.0685708817626,,,
F02-B-17,2017-10-07T13:26:52.103936Z,G,67.2197610843492,-47.0685125421968,,,
F02-B-17,2017-10-07T13:48:58.399549Z,G,67.2049084347269,-47.0618470240652,,,
F02-B-17,2017-10-07T13:48:59.478078Z,G,67.2045784523574,-47.0616566247854,,,
F02-B-17,2017-10-07T13:50:04.477715Z,G,67.205220025587,-47.062005284833,,,
F02-B-17,2017-10-07T13:50:06.963811Z,G,67.2049899016049,-47.0616929280321,,,
F02-B-17,2017-10-07T14:11:28.164235Z,G,67.1903984220444,-47.0538797008636,,,
F02-B-17,2017-10-07T14:11:29.267689Z,G,67.1904628966883,-47.0537841346634,,,
